Month,Open,High,Low,Close
April-1998,3901.44,4322.00,3901.44,4006.81,
May-1998,4058.75,4156.58,3589.24,3686.39,
June-1998,3737.25,3823.15,2951.45,3250.69,
July-1998,3210.60,3525.90,3079.43,3211.31,
August-1998,3159.02,3163.28,2838.99,2933.85,
September-1998,2862.24,3266.71,2850.30,3102.29,
October-1998,3036.15,3045.54,2741.22,2812.49,
November-1998,2820.23,3027.20,2741.70,2810.66,
December-1998,2803.73,3118.59,2790.32,3055.41,
January-1999,3064.95,3515.49,3042.25,3315.57,
February-1999,3331.91,3406.28,3157.70,3399.63,
March-1999,3447.50,3817.94,3417.22,3739.96,
April-1999,3750.22,3754.73,3183.47,3325.69,
May-1999,3380.61,4197.08,3363.06,3963.56,
June-1999,3954.26,4285.99,3830.15,4140.73,
July-1999,4156.62,4810.33,4120.73,4542.34,
August-1999,4571.36,4965.79,4470.52,4898.21,
September-1999,4910.64,4914.12,4513.55,4764.42,
October-1999,4808.63,5150.99,4368.85,4444.56,
November-1999,4490.06,4770.11,4209.41,4622.21,
December-1999,4609.66,5077.23,4584.74,5005.82,
January-2000,5209.54,5668.28,5184.48,5205.29,
February-2000,5217.65,6150.69,5127.79,5446.98,
March-2000,5464.65,5828.79,4867.23,5001.28,
April-2000,5070.50,5542.81,4284.17,4657.55,
May-2000,4736.02,4757.89,3831.86,4433.61,
June-2000,4406.52,4919.63,4321.26,4748.77,
July-2000,4846.69,5058.90,4052.61,4279.86,
August-2000,4295.35,4500.30,4142.81,4477.31,
September-2000,4571.89,4790.63,4004.73,4090.38,
October-2000,4035.64,4197.39,3491.55,3711.02,
November-2000,3749.35,4046.19,3734.98,3997.99,
December-2000,3968.89,4332.65,3803.69,3972.12,
January-2001,3990.65,4409.33,3929.37,4326.72,
February-2001,4303.13,4462.11,4020.68,4247.04,
March-2001,4288.23,4386.98,3436.75,3604.38,
April-2001,3491.41,3676.82,3096.51,3519.16,
May-2001,3565.53,3759.96,3420.14,3631.91,
June-2001,3637.03,3651.32,3287.94,3456.78,
July-2001,3480.06,3513.79,3241.66,3329.28,
August-2001,3335.00,3359.07,3241.12,3244.95,
September-2001,3245.71,3267.93,2594.87,2811.60,
October-2001,2817.74,3083.65,2718.41,2989.35,
November-2001,3003.95,3377.81,3003.95,3287.56,
December-2001,3301.05,3500.20,3100.57,3262.33,
January-2002,3262.01,3466.73,3236.76,3311.03,
February-2002,3334.69,3758.11,3290.00,3562.31,
March-2002,3551.56,3758.27,3454.27,3469.35,
April-2002,3482.94,3538.49,3296.88,3338.16,
May-2002,3361.33,3478.02,3097.73,3125.73,
June-2002,3162.27,3377.88,3148.57,3244.70,
July-2002,3246.44,3366.74,2932.35,2987.65,
August-2002,2998.46,3185.08,2931.78,3181.23,
September-2002,3206.81,3227.62,2973.97,2991.36,
October-2002,2976.04,3038.92,2828.48,2949.32,
November-2002,2956.94,3245.98,2928.63,3228.82,
December-2002,3247.60,3413.83,3186.62,3377.28,
January-2003,3383.85,3416.92,3199.18,3250.38,
February-2003,3260.04,3341.61,3218.37,3283.66,
March-2003,3301.67,3311.57,3039.83,3048.72,
April-2003,3037.54,3221.90,2904.44,2959.79,
May-2003,2949.04,3200.48,2934.78,3180.75,
June-2003,3176.56,3632.84,3170.38,3607.13,
July-2003,3617.74,3835.75,3534.06,3792.61,
August-2003,3800.73,4277.64,3722.08,4244.73,
September-2003,4248.07,4473.57,4097.55,4453.24,
October-2003,4452.07,4951.11,4432.93,4906.87,
November-2003,4946.93,5135.00,4736.70,5044.82,
December-2003,5086.86,5920.76,5082.82,5838.96,
January-2004,5872.48,6249.60,5567.68,5695.67,
February-2004,5715.46,6082.80,5550.17,5667.51,
March-2004,5649.30,5951.03,5324.78,5590.60,
April-2004,5599.12,5979.25,5599.12,5655.09,
May-2004,5645.86,5772.64,4227.50,4759.62,
June-2004,4792.01,5012.52,4613.94,4795.46,
July-2004,4813.76,5200.85,4723.04,5170.32,
August-2004,5193.25,5269.22,5022.29,5192.08,
September-2004,5202.16,5638.79,5178.57,5583.61,
October-2004,5587.46,5803.82,5558.14,5672.27,
November-2004,5678.65,6248.43,5649.03,6234.29,
December-2004,6259.28,6617.15,6176.09,6602.69,
January-2005,6626.49,6696.31,6069.33,6555.94,
February-2005,6565.21,6721.08,6508.33,6713.86,
March-2005,6725.92,6954.86,6321.31,6492.82,
April-2005,6506.60,6649.42,6118.42,6154.44,
May-2005,6183.07,6772.74,6140.97,6715.11,
June-2005,6729.39,7228.21,6647.36,7193.85,
July-2005,7165.45,7708.59,7123.11,7635.42,
August-2005,7632.01,7921.39,7537.50,7805.43,
September-2005,7818.90,8722.17,7818.90,8634.48,
October-2005,8662.99,8821.84,7656.15,7892.32,
November-2005,7989.86,9033.99,7891.23,8788.81,
December-2005,8813.82,9442.98,8769.56,9397.93,
January-2006,9422.49,9945.19,9158.44,9919.89,
February-2006,9959.24,10422.65,9713.51,10370.24,
March-2006,10368.75,11356.95,10344.26,11279.96,
April-2006,11342.96,12102.00,11008.43,12042.56,
May-2006,12103.78,12671.11,9826.91,10398.61,
June-2006,10472.46,10626.84,8799.01,10609.25,
July-2006,10616.97,10940.45,9875.35,10743.88,
August-2006,10737.50,11794.43,10645.99,11699.05,
September-2006,11699.57,12485.17,11444.18,12454.42,
October-2006,12473.79,13075.85,12178.83,12961.90,
November-2006,12992.62,13799.08,12937.30,13696.31,
December-2006,13729.67,14035.30,12801.65,13786.91,
January-2007,13827.77,14325.92,13303.22,14090.92,
February-2007,14124.36,14723.88,12800.91,12938.09,
March-2007,13013.74,13386.95,12316.10,13072.10,
April-2007,12811.93,14383.72,12425.52,13872.37,
May-2007,13987.77,14576.37,13554.34,14544.46,
June-2007,14610.28,14683.36,13946.99,14650.51,
July-2007,14685.16,15868.85,14638.88,15550.99,
August-2007,15344.02,15542.40,13779.88,15318.60,
September-2007,15401.99,17361.47,15323.05,17291.10,
October-2007,17356.99,20238.16,17144.58,19837.99,
November-2007,20130.23,20204.21,18182.83,19363.19,
December-2007,19547.09,20498.11,18886.40,20286.99,
January-2008,20325.27,21206.77,15332.42,17648.71,
February-2008,17820.67,18895.34,16457.74,17578.72,
March-2008,17227.56,17227.56,14677.24,15644.44,
April-2008,15771.72,17480.74,15297.96,17287.31,
May-2008,17560.15,17735.70,16196.02,16415.57,
June-2008,16591.46,16632.72,13405.54,13461.60,
July-2008,13480.02,15130.09,12514.02,14355.75,
August-2008,14064.26,15579.78,14002.43,14564.53,
September-2008,14412.99,15107.01,12153.55,12860.43,
October-2008,13006.72,13203.86,7697.39,9788.06,
November-2008,10209.37,10945.41,8316.39,9092.72,
December-2008,9162.94,10188.54,8467.43,9647.31,
January-2009,9720.55,10469.72,8631.60,9424.24,
February-2009,9363.58,9724.87,8619.22,8891.61,
March-2009,8762.88,10127.09,8047.17,9708.50,
April-2009,9745.77,11492.10,9546.29,11403.25,
May-2009,11635.24,14930.54,11621.30,14625.25,
June-2009,14746.51,15600.30,14016.95,14493.84,
July-2009,14506.43,15732.81,13219.99,15670.31,
August-2009,15694.78,16002.46,14684.45,15666.64,
September-2009,15691.27,17142.52,15356.72,17126.84,
October-2009,17186.20,17493.17,15805.20,15896.28,
November-2009,15838.63,17290.48,15330.56,16926.22,
December-2009,16947.46,17530.94,16577.78,17464.81,
January-2010,17473.45,17790.33,15982.08,16357.96,
February-2010,16339.32,16669.25,15651.99,16429.55,
March-2010,16438.45,17793.01,16438.45,17527.77,
April-2010,17555.04,18047.86,17276.80,17558.71,
May-2010,17536.86,17536.86,15960.15,16944.63,
June-2010,16942.82,17919.62,16318.39,17700.90,
July-2010,17679.34,18237.56,17395.58,17868.29,
August-2010,17911.31,18475.27,17819.99,17971.12,
September-2010,18027.12,20267.98,18027.12,20069.12,
October-2010,20094.10,20854.55,19768.96,20032.34,
November-2010,20272.49,21108.64,18954.82,19521.25,
December-2010,19529.99,20552.03,19074.57,20509.09,
January-2011,20621.61,20664.80,18038.48,18327.76,
February-2011,18425.18,18690.97,17295.62,17823.40,
March-2011,17982.28,19575.16,17792.17,19445.22,
April-2011,19463.11,19811.14,18976.19,19135.96,
May-2011,19224.05,19253.87,17786.13,18503.28,
June-2011,18527.12,18873.39,17314.38,18845.87,
July-2011,18974.96,19131.70,18131.86,18197.20,
August-2011,18352.23,18440.07,15765.53,16676.75,
September-2011,16963.67,17211.80,15801.01,16453.76,
October-2011,16255.97,17908.13,15745.43,17705.01,
November-2011,17540.55,17702.26,15478.69,16123.46,
December-2011,16555.93,17003.71,15135.86,15454.92,
January-2012,15534.67,17258.97,15358.02,17193.55,
February-2012,17179.64,18523.78,17061.55,17752.68,
March-2012,17714.62,18040.69,16920.61,17404.20,
April-2012,17429.96,17664.10,17010.16,17318.81,
May-2012,17370.93,17432.33,15809.71,16218.53,
June-2012,16217.48,17448.48,15748.98,17429.98,
July-2012,17438.68,17631.19,16598.48,17236.18,
August-2012,17244.44,17972.54,17026.97,17429.56,
September-2012,17465.60,18869.94,17250.80,18762.74,
October-2012,18784.64,19137.29,18393.42,18505.38,
November-2012,18487.90,19372.70,18255.69,19339.90,
December-2012,19342.83,19612.18,19149.03,19426.71,
January-2013,19513.45,20203.66,19508.93,19894.98,
February-2013,19907.21,19966.69,18793.97,18861.54,
March-2013,18876.68,19754.66,18568.43,18835.77,
April-2013,18890.81,19622.68,18144.22,19504.18,
May-2013,19459.33,20443.62,19451.26,19760.30,
June-2013,19859.22,19860.19,18467.16,19395.81,
July-2013,19352.48,20351.06,19126.82,19345.70,
August-2013,19443.29,19569.20,17448.71,18619.72,
September-2013,18691.83,20739.69,18166.17,19379.77,
October-2013,19452.05,21205.44,19264.72,21164.52,
November-2013,21158.81,21321.53,20137.67,20791.93,
December-2013,20771.27,21483.74,20568.70,21170.68,
January-2014,21222.19,21409.66,20343.78,20513.85,
February-2014,20479.03,21140.51,19963.12,21120.12,
March-2014,21079.27,22467.21,20920.98,22386.27,
April-2014,22455.23,22939.31,22197.51,22417.80,
May-2014,22493.59,25375.63,22277.04,24217.34,
June-2014,24368.96,25725.12,24270.20,25413.78,
July-2014,25469.94,26300.17,24892.00,25894.97,
August-2014,25753.92,26674.38,25232.82,26638.11,
September-2014,26733.18,27354.99,26220.49,26630.51,
October-2014,26681.47,27894.32,25910.77,27865.83,
November-2014,27943.04,28822.37,27739.56,28693.99,
December-2014,28748.22,28809.64,26469.42,27499.42,
January-2015,27485.77,29844.16,26776.12,29182.95,
February-2015,29143.63,29560.32,28044.49,29361.50,
March-2015,29533.42,30024.74,27248.45,27957.49,
April-2015,27954.86,29094.61,26897.54,27011.31,
May-2015,27204.63,28071.16,26423.99,27828.44,
June-2015,27770.79,27968.75,26307.07,27780.83,
July-2015,27823.65,28578.33,27416.39,28114.56,
August-2015,28089.09,28417.59,25298.42,26283.09,
September-2015,26127.04,26471.82,24833.54,26154.83,
October-2015,26344.19,27618.14,26168.71,26656.83,
November-2015,26641.69,26824.30,25451.42,26145.67,
December-2015,26201.27,26256.42,24867.73,26117.54,
January-2016,26101.50,26197.27,23839.76,24870.69,
February-2016,24982.22,25002.32,22494.61,23002.00,
March-2016,23153.32,25479.62,23133.18,25341.86,
April-2016,25301.70,26100.54,24523.20,25606.62,
May-2016,25565.44,26837.20,25057.93,26667.96,
June-2016,26684.46,27105.41,25911.33,26999.72,
July-2016,27064.33,28240.20,27034.14,28051.86,
August-2016,28083.08,28532.25,27627.97,28452.17,
September-2016,28459.09,29077.28,27716.78,27865.96,
October-2016,27997.29,28477.65,27488.30,27930.21,
November-2016,27966.18,28029.80,25717.93,26652.81,
December-2016,26756.66,26803.76,25753.74,26626.46,
January-2017,26711.15,27980.39,26447.06,27655.96,
February-2017,27669.08,29065.31,27590.10,28743.32,
March-2017,28849.04,29824.62,28716.21,29620.50,
April-2017,29737.73,30184.22,29241.48,29918.40,
May-2017,30021.49,31255.28,29804.12,31145.80,
June-2017,31117.09,31522.87,30680.66,30921.61,
July-2017,31156.04,32672.66,31017.11,32514.94,
